path,label
E:\development\ir_rgb_gray\data\samples\rgb\cat1.jpg,rgb
E:\development\ir_rgb_gray\data\samples\rgb\cat2.jpg,rgb
E:\development\ir_rgb_gray\data\samples\rgb\food1.jpg,rgb
E:\development\ir_rgb_gray\data\samples\rgb\food2.jpg,rgb
E:\development\ir_rgb_gray\data\samples\rgb\landscape1.jpg,rgb
E:\development\ir_rgb_gray\data\samples\rgb\landscape2.jpg,rgb
E:\development\ir_rgb_gray\data\samples\grayscale\cat1_gray.png,grayscale
E:\development\ir_rgb_gray\data\samples\grayscale\cat2_gray.png,grayscale
E:\development\ir_rgb_gray\data\samples\grayscale\food1_gray.png,grayscale
E:\development\ir_rgb_gray\data\samples\grayscale\food2_gray.png,grayscale
E:\development\ir_rgb_gray\data\samples\grayscale\landscape1_gray.png,grayscale
E:\development\ir_rgb_gray\data\samples\grayscale\landscape2_gray.png,grayscale
E:\development\ir_rgb_gray\data\samples\ir_whitehot\backflow_preventer_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\cold_register_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\cswi_thermogram_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\flir_real_video-57kWWRyeqqHs3Byei-frame-003464-i6kRwGTpnR65Tf5WX.jpg,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\flir_real_video-M3RnGhMTucGPeqziZ-frame-004350-gGtDhrDwgBanJMbZz.jpg,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\flir_real_video-zNdAaaFeDJs27cYb7-frame-001200-WedNuyA5Ne7Zn5scC.jpg,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\hot_engine_trolley_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\leicester_square_ir_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\otcbvs_00001_img_00001_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\otcbvs_00001_img_00011_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\otcbvs_00001_img_00021_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\otcbvs_00003_img_00001_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\otcbvs_00003_img_00011_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\otcbvs_00003_img_00021_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\otcbvs_00005_img_00006_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\otcbvs_00005_img_00016_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\otcbvs_00007_img_00001_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\otcbvs_00007_img_00011_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\otcbvs_00007_img_00021_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\otcbvs_00009_img_00006_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\otcbvs_00009_img_00016_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_whitehot\otcbvs_00009_img_00026_whitehot.png,ir_whitehot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\car_driving_flir_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\covent_garden_ir_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\deer_flir_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\hot_fries_cold_drink_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\meat_grocery_store_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\otcbvs_00001_img_00006_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\otcbvs_00001_img_00016_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\otcbvs_00001_img_00026_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\otcbvs_00003_img_00006_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\otcbvs_00003_img_00016_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\otcbvs_00005_img_00001_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\otcbvs_00005_img_00011_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\otcbvs_00005_img_00021_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\otcbvs_00007_img_00006_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\otcbvs_00007_img_00016_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\otcbvs_00009_img_00001_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\otcbvs_00009_img_00011_blackhot.png,ir_blackhot
E:\development\ir_rgb_gray\data\samples\ir_blackhot\otcbvs_00009_img_00021_blackhot.png,ir_blackhot
